,Unnamed: 0,confidence,start_second,text,sentiment_score,key_phrases
57,57,0.8709248,350000,I think we should all bring it to your house and throw party for another day so pretty exhausted,0.924201318394,"[u'day', u'house', u'throw party']"
58,58,0.0,355000,,0.5,[u'NaN']
59,59,0.7418161,360000,that would be,0.5,[u'']
60,60,0.7418161,365000,that would be,0.5,[u'']
61,61,0.0,370000,,0.5,[u'NaN']
62,62,0.0,375000,,0.5,[u'NaN']
63,63,0.0,380000,,0.5,[u'NaN']
64,64,0.0,385000,,0.5,[u'NaN']
65,65,0.0,390000,,0.5,[u'NaN']
66,66,0.0,395000,,0.5,[u'NaN']
67,67,0.0,40000,,0.5,[u'NaN']
68,68,0.0,400000,,0.5,[u'NaN']
69,69,0.0,405000,,0.5,[u'NaN']
70,70,0.0,410000,,0.5,[u'NaN']
71,71,0.0,415000,,0.5,[u'NaN']
72,72,0.915019,420000,do we have enough time for it,0.950527323427,[u'time']
73,73,0.8869183,425000,do we have enough time for it,0.950527323427,[u'time']
74,74,0.0,430000,,0.5,[u'NaN']
75,75,0.0,435000,,0.5,[u'NaN']
76,76,0.0,440000,,0.5,[u'NaN']
77,77,0.0,445000,,0.5,[u'NaN']
78,78,0.0,45000,,0.5,[u'NaN']
79,79,0.7681496,450000,I like that,0.5,[u'']
80,80,0.7599355,455000,I like that,0.5,[u'']
81,81,0.0,460000,,0.5,[u'NaN']
82,82,0.8952203,465000,artificial intelligence,0.5,[u'artificial intelligence']
83,83,0.9278988,470000,artificial intelligence is not really part of this is it,0.192828470963,[u'artificial intelligence']
84,84,0.0,475000,,0.5,[u'NaN']
85,85,0.0,480000,,0.5,[u'NaN']
86,86,0.0,485000,,0.5,[u'NaN']
87,87,0.0,490000,,0.5,[u'NaN']
88,88,0.9043069,495000,basically just,0.5,[u'']
89,89,0.6278595,5000,come from school already,0.5,[u'school']
90,90,0.0,50000,,0.5,[u'NaN']
91,91,0.8284983,500000,basically just playing plug,0.888260393128,[u'plug']
92,92,0.34913,505000,log,0.5,[u'log']
93,93,0.0,510000,,0.5,[u'NaN']
94,94,0.0,515000,,0.5,[u'NaN']
95,95,0.0,520000,,0.5,[u'NaN']
96,96,0.0,525000,,0.5,[u'NaN']
97,97,0.8622258,530000,wrap up the meeting are there any last is that we have to dress,0.5,[u'meeting']
98,98,0.7602228,535000,wrap up the meeting are there any last is that we have to dress,0.5,[u'meeting']
99,99,0.0,540000,,0.5,[u'NaN']
100,100,0.0,545000,,0.5,[u'NaN']
101,101,0.9562653,55000,OK so that's going well so we got it in time for,0.948861708168,"[u'OK', u'time']"
102,102,0.8503694,550000,you guys,0.5,[u'guys']
103,103,0.9453927,555000,you guys have a nice weekend,0.969103414843,[u'nice weekend']
104,104,0.0,560000,,0.5,[u'NaN']
105,105,0.0,565000,,0.5,[u'NaN']
106,106,0.9567479,60000,OK so that's going well so we got it in time for the presentation,0.948379820547,"[u'time', u'presentation', u'OK']"
107,107,0.0,65000,,0.5,[u'NaN']
108,108,0.9016414,70000,you were doing that right,0.5,[u'']
109,109,0.0,75000,,0.5,[u'NaN']
110,110,0.0,80000,,0.5,[u'NaN']
111,111,0.0,85000,,0.5,[u'NaN']
112,112,0.0,90000,,0.5,[u'NaN']
113,113,0.0,95000,,0.5,[u'NaN']
